"V01_Row_ID","Chapter","Zone","Building","Area","Feature","Subfeature","Semantic_Object_or_Group","Evidence_Class","Evidence_Source","Physical_Location","Functional_Role","Must_Show","Recommended_Shot_Type","Recommended_Camera_Height","Recommended_View_Direction","Recommended_Duration_Sec","Needs_Multiple_Angles","Needs_World_Label","Needs_Overlay","Needs_Animation","Associated_Features","Coverage_Criteria","Potential_Occlusion","Technical_Risk","Planning_State","Notes","V02_Status","Evidence_Closure","Final_Evidence_Source","Final_Shot_IDs","Final_Coverage_Duration","Coverage_Confidence"
"CH09-07","CH09 — PACKAGING + AUTOMATION + LOGISTICS","LOGISTICS","Dispatch","Outbound","Dispatch and truck loading","Dock, leveler, yard, loads and pallets","FG_DOCK; FG_LEVELER; FG_Truck_Yard; FG_LOAD; FG_PALLET; PRES_33_DISPATCH_DOCKS","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","East/south dispatch edge","End material flow","Show warehouse exit, dock/leveler, truck yard and separation from people circulation","slow vehicle-height departure","vehicle height","warehouse out toward dispatch road","18","Y","Y","DISPATCH / OUTBOUND","N","Pedestrian separation; roads","Tour has a clear physical ending for goods","Truck proxies may be sparse","Do not invent fleet or routes","REQUIRED","Chapter exits toward utilities/finale.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S053","18","HIGH"
"CH10-01","CH10 — UTILITIES + ETP + HSE","UTILITIES","Utilities Centre","Energy and air","Utility House and compressed air","Utility house, pipe bridge, air receiver, screw compressor","Utility_House; UTILITY_PIPE_BRIDGE; UTILITY_PROCESS_FLOOR; AIR_RECEIVER; SCREW_COMPRESSOR_00; PRES_34_UTILITIES","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Service/utility edge","Support production utilities","Show utility house, bridge and compressed-air equipment with service access","slow service-yard move","eye level","toward utility house","18","Y","Y","UTILITIES CENTRE","N","CIP; hypochlorite; solar inverter","Utility support is spatially connected to production","Pipes are proxies","No detailed engineering claim","REQUIRED","Presentation-level utility coverage.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S054","18","HIGH"
"CH10-02","CH10 — UTILITIES + ETP + HSE","ENVIRONMENT","ETP","Water treatment","ETP / environmental systems","MBBR, filter press, control, tanks","ETP; ETP_MBBR; ETP_FILTER_PRESS; ETP_CONTROL; ETP_TANK_00..02; PRES_35_ETP","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Service/environmental edge","Treat wastewater and environmental flows","Show plant context, tank group, filter press and control relationship","slow crane down to plant and hold","medium aerial to eye level","across ETP to tanks","24","Y","Y","ETP / WATER TREATMENT","N","Utilities; Water Wall; sustainability","Environmental system is understandable as a destination","Tank grouping may look generic","Use labels for MBBR/filter press only","REQUIRED","Dedicated sustainability chapter.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S055","24","HIGH"
"CH10-03","CH10 — UTILITIES + ETP + HSE","UTILITIES","Maintenance","Workshop","Heavy maintenance / workshop","Workshop, crane, bench references","MAINTENANCE_WORKSHOP; HEAVY_MAINTENANCE; WORKSHOP_CRANE; WORKSHOP_BENCH","C","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","V03 manifest marks this route blocked; no named geometry in REV004.1 semantic manifest","Identify missing presentation feature","Report as documented/planned but not modeled; do not stage a fake shot","static gap card over campus context","eye level","service yard context","22","N","N","DOCUMENTED NOT MODELED","N","Utilities; production support","Viewer is told why no visual coverage exists","No geometry to photograph","Requires owner decision before M07","DOCUMENTED_NOT_MODELED","Nonessential to architectural tour if owner accepts overlay-only treatment.","KEEP_WITH_CAVEAT","HSE documents a heavy-service corridor; dedicated workshop/crane/bench geometry is not present in the REV004.1 semantic manifest. Use an honest gap card only.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S056","24","CAVEATED"
"CH10-04","CH10 — UTILITIES + ETP + HSE","HSE","Campus safety","Emergency systems","Fire and emergency systems","Hydrant, pump house, fire water, muster, shower","FIRE_HYDRANT_00; FIRE_PUMP_HOUSE; FIRE_WATER_TANK; EMERGENCY_SHOWER; MUSTER_SIGN_00; MUSTER_POINT_00; FIRE_ROUTE_MARK; PRES_36_FIRE_HSE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Campus/service edges","Presentation-level HSE legibility","Show emergency route, fire-water group, muster and shower with restrained overlays","slow route walk with detail inserts","walking height","along fire route to muster","20","Y","Y","FIRE / EMERGENCY / MUSTER","N","Pedestrian spine; utilities; chemical area","Safety features are findable without compliance overclaim","Some objects may be small or hidden","Use 1–2 HSE overlays only","REQUIRED","Concept-level HSE only.","MERGED_ANCHOR","HSE source documents the safety logic; REV004.1 supports presentation-level spatial evidence. No detailed compliance claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S057","30","HIGH"
"CH10-05","CH10 — UTILITIES + ETP + HSE","HSE","Campus circulation","Separation","Forklift and pedestrian safety","Forklift proxy, forks, route marks, walk loop","FORKLIFT_BODY; FORKS; FIRE_ROUTE_MARK; MUSTER_POINT_00; WALK_LOOP_SOUTH","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","South logistics/people interface","Separate people and service movement","Show route markings, forklift zone and pedestrian loop in relation","slow ground-level tracking shot","walking height","parallel along marked route","20","Y","Y","PEDESTRIAN / SERVICE SEPARATION","N","AMR spine; arrival; dispatch","Relationship is understandable without detailed engineering claim","Forklift may be a static proxy","No animated traffic unless M07 adds it","REQUIRED","Safety sequence closes utilities.","MERGED_INTO","HSE source documents the safety logic; REV004.1 supports presentation-level spatial evidence. No detailed compliance claim.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S057","30","HIGH"
"CH11-01","CH11 — SUSTAINABILITY + FINAL CAMPUS HERO","SUSTAINABILITY","Campus-wide","Sustainability network","Sustainability synthesis","Three PV groups, Living Wall, Water Wall, ETP, landscape, pedestrian planning","SOLAR_ARRAY*; SolarPanel*; SOLAR_CARPORT_PANEL*; LIVING_WALL_EXTENDED_BACKING; POVU_WATER_WALL_BASIN_WATER; ETP; landscape groups","A/B","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Campus-wide","Connect distributed sustainability systems","Intercut or spatially motivated return to all confirmed sustainability elements","restrained montage with geographic match cuts","mixed","solar field → campus → VIP → ETP","18","Y","Y","SUSTAINABILITY / campus system","Y","People campus; utilities; pedestrian spine","Summary names only confirmed features","Many systems are far apart","Maintain orientation between cuts","REQUIRED","Not a generic green montage.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 2,14-16","M06V02-S058","18","MEDIUM"
"CH11-02","CH11 — SUSTAINABILITY + FINAL CAMPUS HERO","PORTFOLIO","Factory capabilities","91-SKU relationship","Portfolio relationship","Manufacturing families, not 91 products","91-SKU workbook not present; modeled capability groups from machine manifest","D","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","No 91-SKU workbook located in repo/workspace","State evidence boundary","Use restrained text only: broad multi-category FMCG portfolio; no SKU claims","near-static line montage with text hold","medium height","across representative lines","20","N","N","BROAD FMCG CAPABILITY","N","Bottle; liquids; sachets; powder; toothpaste; wipes","Portfolio breadth is framed without inventing product mapping","No workbook or product assets available","Requires owner workbook before SKU-specific claims","UNCERTAIN","Owner evidence required for exact relationship.","KEEP","91-SKU narrative is document-closed at family/format level; final film must claim capability families, not one-to-one modeled SKU identity.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; Brand Strategy slides 2,8-10; Presidential Deck slides 6,9-14; 91-SKU workbook sheets 14(3.4),15(3.4),17(2.5)","M06V02-S059","20","HIGH"
"CH11-03","CH11 — SUSTAINABILITY + FINAL CAMPUS HERO","PEOPLE","Campus experience","Mission","People and public realm final","VIP, HOG, Academy, café, wellness, gardens","HANDS_OF_GROWTH; POVU Plaza; employee gardens; Admin/R&D; Academy; café; wellness","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","People campus and public realm","Close human story","Return to landmark and people destinations; reinforce People • Skills • Future","gentle arc with holds","eye to medium height","plaza toward people campus","18","Y","Y","PEOPLE / SKILLS / FUTURE","N","Sustainability; VIP; campus wayfinding","Viewer understands people as central to campus purpose","Landmark can be occluded by trees","Use HOG label one final time","REQUIRED","Narrative return.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S060","18","HIGH"
"CH11-04","CH11 — SUSTAINABILITY + FINAL CAMPUS HERO","CAMPUS","Campus masterplan","Final orientation","All-campus context","Major zones and route closure","PRES_01_CAMPUS_HERO; NAV_TARGET_*; smart totems","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Campus-wide","Resolve spatial narrative","Aerial returns to opening direction with major zones named subtly","restrained aerial pullback","high aerial","reverse of opening route","12","Y","N","FINAL CAMPUS / route complete","N","Production; people; sustainability","Film ends where it began with full orientation","Final wide may lose detail","Hold before title card","REQUIRED","No rushed pullback.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S061","12","HIGH"
"CH11-05","CH11 — SUSTAINABILITY + FINAL CAMPUS HERO","CAMPUS","POVU Kenya FMCG Campus","Final title","Mission and title","POVU identity and final title","POVU_VIP_SIGN; POVU_PRODUCTION_SIGN; POVU campus identity","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Campus identity signage","Leave a clear final statement","Final title over stable hero frame; no unsupported claim","near-static hero hold","high aerial to stable","campus-facing hero","20","N","N","final title / POVU Kenya FMCG Campus","N","Sustainability summary; route closure","Viewer knows what the campus is and why it matters","Title may compete with geometry","Use final title only after hold","REQUIRED","End card allowance included separately.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S062","20","HIGH"
